Row	s_4207	Growth
YHR128W	0.999998347	1
YHR137W	0.612361873	1
YHR144C	0.999961362	1
YHR162W	1	1
YHR163W	0.999100811	1
YHR174W	0.999999821	1
YHR183W	0.999793993	1
YHR190W	0	0
YHR208W	0	0
YHR216W	0.999998451	1
YIL002C	0.999999963	1
YIL006W	0.999998347	1
YIL009W	0.999998451	1
YIL010W	1	1
YIL013C	1	1
YIL020C	0	0
YIL053W	0.999999963	1
YIL066C	0.999998922	1
YIL074C	1.000000425	1
YIL078W	0	0
YIL083C	0.999999859	1
YIL094C	0	0
YIL099W	0.999999859	1
YIL107C	0.999998922	1
YIL111W	0.472400617	1
YIL116W	0	0
YIL124W	0.999999821	1
YIL125W	0.999998451	1
YIL134W	0.999998451	1
YIL145C	1.000000317	1
YIL155C	0.999998916	1
YIL160C	1	1
YIL162W	1	1
YIL172C	1	1
YIR027C	0.999999821	1
YIR028W	0.999998678	1
YIR029W	1.000000886	1
YIR031C	0.99999831	1
YIR032C	0.999998347	1
YIR034C	0	0
YIR037W	0.999998916	1
YJL005W	1.000000433	1
YJL026W	0.999998451	1
YJL045W	1	1
YJL052W	1.470648835	1
YJL060W	0.999998347	1
YJL068C	0.999998347	1
YJL071W	1.000000433	1
YJL088W	0	0
YJL091C	0.999999963	1
YJL097W	0.999999859	1
YJL100W	0.999998359	1
YJL101C	0.999998451	1
YJL121C	0.450653812	1
YJL129C	1	1
YJL130C	0	0
YJL134W	1.004216957	1
YJL137C	0.999997827	1
YJL139C	1	1
YJL153C	0	0
YJL155C	1.000000426	1
YJL166W	0.479999201	1
YJL167W	0	0
YJL196C	0.999999859	1
YJL198W	1	1
YJL212C	0.999998488	1
YJL214W	1	1
YJL216C	1	1
YJL219W	1	1
YJL221C	1	1
YJR001W	1.000000433	1
YJR009C	0.999999963	1
YJR010W	0.999999527	1
YJR013W	0.999999963	1
YJR016C	0	0
YJR019C	1.000017297	1
YJR025C	0.999999968	1
YJR048W	0.999998347	1
YJR049C	1.000000433	1
YJR057W	0.999999963	1
YJR073C	0	0
YJR077C	1	1
YJR078W	0.999999821	1
YJR095W	0.999963579	1
YJR103W	0.999999779	1
YJR105W	0.998513085	1
YJR109C	0	0
YJR110W	0.999998959	1
YJR121W	0.999934327	1
YJR130C	0.999999859	1
YJR133W	1.00000047	1
YJR137C	0	0
YJR139C	0	0
YJR143C	0.999998451	1
YJR148W	0	0
YJR152W	0.999998678	1
